entity_index,num_replicates,modality
1532,2,Compound
1533,3,Compound
1534,3,Compound
1535,5,Compound
1536,6,Compound
1537,4,Compound
1538,8,Compound
1539,5,Compound
1540,4,Compound
1541,3,Compound
1542,7,Compound
1543,7,Compound
1544,5,Compound
1545,3,Compound
1546,3,Compound
1547,5,Compound
1548,3,Compound
1549,4,Compound
1550,10,Compound
1551,5,Compound
1552,4,Compound
1553,4,Compound
1554,6,Compound
1555,5,Compound
1556,3,Compound
1557,8,Compound
1558,3,Compound
1559,5,Compound
1560,5,Compound
1561,7,Compound
1562,5,Compound
1563,5,Compound
1564,5,Compound
1565,5,Compound
1566,4,Compound
1567,8,Compound
1568,4,Compound
1569,5,Compound
1570,3,Compound
1571,6,Compound
1572,5,Compound
1573,7,Compound
1574,7,Compound
1575,3,Compound
1576,4,Compound
1577,4,Compound
1578,7,Compound
1579,7,Compound
1580,3,Compound
1581,7,Compound
1582,7,Compound
1583,8,Compound
1584,7,Compound
1585,4,Compound
1586,4,Compound
1587,5,Compound
1588,5,Compound
1589,7,Compound
1590,4,Compound
1591,3,Compound
1592,4,Compound
1593,3,Compound
1594,3,Compound
1595,4,Compound
1596,8,Compound
1597,4,Compound
1598,4,Compound
1599,3,Compound
1600,4,Compound
1601,7,Compound
1602,3,Compound
1603,8,Compound
1604,5,Compound
1605,5,Compound
1606,4,Compound
1607,7,Compound
1608,5,Compound
1609,3,Compound
1610,7,Compound
1611,4,Compound
1612,5,Compound
1613,13,Compound
1614,7,Compound
1615,4,Compound
1616,4,Compound
1617,7,Compound
1618,4,Compound
1619,9,Compound
1620,4,Compound
1621,5,Compound
1622,4,Compound
1623,5,Compound
1624,4,Compound
1625,5,Compound
1626,7,Compound
1627,4,Compound
1628,3,Compound
1629,4,Compound
1630,9,Compound
1631,5,Compound
1632,3,Compound
1633,4,Compound
1634,4,Compound
1635,4,Compound
1636,7,Compound
1637,3,Compound
1638,4,Compound
1639,7,Compound
1640,5,Compound
1641,5,Compound
1642,4,Compound
1643,4,Compound
1644,4,Compound
1645,4,Compound
1646,4,Compound
1647,5,Compound
1648,6,Compound
1649,6,Compound
1650,3,Compound
1651,3,Compound
1652,5,Compound
1653,6,Compound
